1;1;letter;Ви здогадувалися про те, що справжнє прізвище Ретчетта – Касетті, що відомий викраденням маленьких дітей, серед яких – Дейзі Армстронг?;Клятий мерзотник! Якби знав, то відтяв би собі правицю перед тим, як стати його секретарем! Мій батько був прокурором, який вів дану справу, містере Пуаро. Я бачив місіс Армстронг лише один раз – вона була чарівною жінкою. Приємна і з розбитим серцем. Ця людина – Ретчетт або Касетті – отримала своє. Я радий його смерті. Такі люди не повинні жити.;0
1;2;null;Розкажіть про всі свої дії минулої ночі.;Це просто. Спершу я повернувся в своє купе, трішки почитав, вийшов на платформу у Белграді. Там було дуже холодно, тому я швидко повернувся назад. Я перекинувся декількома слова з молодою леді з Англії, яка розташовується в купе біля мого. Потім я поговорив з англійцем, полковником Арбетнотом – доказом цього є те, що ви особисто нас бачили. Потім я зайшов до містера Ретчетта і, як я вже казав, пішов писати листи, які потрібно було надіслати. Я побажав йому гарної ночі та пішов. Полковник Арбетнот стояв у коридорі. Його купе було підготоване до сну, тому я запропонував піти до мене. Я замовив кілька склянок алкоголю для нас. Ми балакали про політику, індійський уряд та інші проблеми – Сухий закон в США та Велику кризу. Я взагалі-то не сильно полюбляю британців – вони дуже зарозумілі – але не цей. Він відійшов дуже пізно. Десь близько другої години.;0
1;3;null;Коли ви сиділи з полковником Арбетнотом і балакали, двері вашого купе були відчинені, так? Скажіть, хто проходив коридором після того, як потяг покинув Вінковці і до того, як ви пішли спати?;Думаю, що провідник проходив, з вагону-ресторану. В інший бік йшла жінка, яка  – не можу сказати. Я її не помітив. Розумієте, ми з полковником сперечалися. Я лише помітив проблиск багряного шовку, який промайнув крізь двері. Я не дивився туди, тому й не помітив її обличчя. Як вам відомо, після мого купе знаходиться вагон-ресторан, тому жінка, яка йшла, повинна була б повернутися назад. Чесно кажучи, цього я не бачив.;2
1;4;null;Ви помітили, що поїзд зупинився?;О, так. Я дещо здивувалися. Я виглянув та побачив велику товщу снігу, але не думав, що це серйозно.;0
1;5;smokingPipeBrush;Ви курите трубку?;Ні, сер, не курю.;0
2;6;null;Чи можете ви мені сказати, коли ви востаннє бачили містера Ретчетта?;Десь близько дев'ятої години, сер. Або дещо пізніше. Я підійшов до містера Ретчетта, як зазвичай, і запитав про його побажання. Він вів себе так само, як і завжди, хоча був дещо схвильований через лист, який він прочитав. Він запитав, чи це не я поклав його в купе. Звісно, я відповів, що нічого не робив, але він облаяв мене і звинуватив у всіх гріхах.;0
2;7;null;Що ви робили після того, як пішли від нього?;Я сказав містеру МакКвінну, що господар хоче його бачити. Потім я пішов у своє купе і читав. У мене був зубний біль. Я використав трішки гвоздикової олії, що трішки послабило біль, але все одно мені не вдалося заснути. Я увімкнув світло над головою та продовжив читати – це зайняло весь мій час. Мені вдалося заснути лише о четвертій годині, сер.;6
2;8;null;Чи приймав ваш господар снодійне?;Лише коли їхав у поїзді, сер. Він казав, що інакше він не міг заснути. Минулої ночі він його також приймав. я налив його в склянку і залишив на туалетному столику.;0
2;9;null;Ви не здивувалися, що вранці містер Ретчетт вас не покликав?;Ні, сер.  Інколи він прокидався до сніданку, проте іншого разу він спав аж до обіду.;9
2;10;null;Чи знали ви, що ваш господар мав ворогів?;Так. Я чув, коли він обговорював деякі листи з містером МакКвінном.;0
2;11;letter;Ви були коли-небудь в Америці?;Ні.;0
2;12;null;Ви чули колись про випадок із викраденням дитини Армстронгів?;Так, звісно. Маленька дівчинка, так? Жахливий випадок.;11
2;13;null;Чи знали ви, що ваш роботодавець, містер Ретчетт, був головним винуватцем того злочину?;Ні, не знав. Мені важко в це повірити.;12
2;14;null;Ви щось чули уночі?;Не думаю. Тобто, нічого незвичного. Потяг потрапив у замет, тому все було дуже тихо;0
2;15;null;Скільки років ви працювали на містера Ретчетта?;Понад дев'ять місяців, сер.;0
2;16;smokingPipeBrush;Ви курите трубку?;Ні, сер. Я курю лише дешеві цигарки.;0
3;17;null;Ви щось чули уночі?;Нічого особливого не чула. Але вранці я знайшла ґудзик. Це не мій. У мене таких немає. Я читала журнал минулої ночі, перед тим, як лягати спати. Перед тим, як вимкнути світло, я поклала журнал на невеличку коробку, що стояла на підлозі поблизу вікна. Провідник не підходив до вікна ввечері. Зрештою, вранці я помітила ґудзик справа від журналу.;0
3;18;letter;Ви ж американка, місіс Хаббард? Пам'ятаєте справу із викраденням дитини Армстронгів?;Так, авжеж. І цей негідник уникнув покарання! Я б хотіла, щоб він потрапив у мої руки.;0
3;19;null;Він не уникнув. Він помер. Помер минулої ночі. Цією людиною був Ретчетт.;"Чудово! Якщо подумати, це чудово! Я повинна написати про це своїй дочці. Хіба ж я вам учора не казала, що в нього зле обличчя? Я була права, ось бачите. Моя дочка завжди каже: ""Коли мама має передбачення, ви сміло можете ставити свій останній долар на це"".";18
3;20;null;Ви були знайомі із сім'єю Армстронгів, місіс Хаббард?;Ні. Вони крутилися у вищих колах. Але я завжди чула, що місіс Армстронг була дуже люблячою жінкою і що її чоловік обожнював.;18
3;21;null;У вас є багряний шовковий халат?;Дуже дивне запитання! Але ні. У мене є два халати – рожевий фланелевий, зручний для морських подорожей, а інший моя дочка подарувала – з місцевого пурпурового шовку.;0
3;22;handkerchief;Це не ваш носовичок, мадам?;Це не мій, містере Пуаро. На моїх вишиті C.M.H., і вони зручніші – не такі дорогі, як ці паризькі. Чий ніс може дозволити собі такі носовички?;0
3;23;null;Тоді не могли б ви показати мені свого?;* Вона відкриває свою сумочку, ви бачите там канджал. Ви не одні не очікували там його побачити. Місіс Хаббард виглядає надзвичайно спантеличеною і переляканою * О Боже, що це таке? Звідки воно тут?;22
4;24;null;Ви обізнані в тому, ким була жертва?;Граф: Як я зрозумів, це був американець – та людина з неприємним виразом обличчя. Але імені його я не знаю.;0
4;25;letter;Ви були коли-небудь в Америці?;Графиня: Мій чоловік близько року був у Вашингтоні. Я - ні.  Ми тоді ще не були одружені. Ми одружилися лише рік тому.;0
4;26;null;Ви чули, напевно, про сім'ю Армстронгів, мсьє?;Граф: Армстронг, Армстронг – важко пригадати. Я зустрічав багатьох людей. Але повернімося до справи, джентльмени. Чим я можу вам допомогти?;25
4;27;null;Ви пішли відпочивати – о котрій годині?;Граф: Ми попросили приготувати до сну одне купе, коли йшли вечеряти. Після повернення ми сіли в іншому - номер 13. Ми грали в пікет. Близько одинадцятої моя дружина пішла спати. Провідник постелив моє ліжко і я теж ліг. Я спав аж до ранку.;0
4;28;null;Ви помітили, як зупинився потяг?;Граф: Ми не знали про це до самого ранку. ;0
4;29;passport;Мадам, ці дані – ваше дівоче прізвище, усе інше – вони правильні?;Графиня: Абсолютно.;0
4;30;smokingPipeBrush;Мсьє, ви курите?;Граф: Так. Сигари та цигарки.;0
4;31;null;Чи можна побачити ваші паспорти?;Паспорт графа:  Пуаро взяв у руки паспорт і відкрив його. Оглянувши сторінку з даними та титулами графа, він перейшов до наступної сторінки.   Супроводжує: дружина. Ім'я при народженні – Єлена Марія. Дівоче прізвище: Ґолденберг. Вік: двадцять. На сторінці була масна пляма перед ім’ям Єлени.;0
5;32;null;Коли містер Ретчетт пішов спати?;Одразу після вечері, мсьє. Якраз після зупинки у Белграді. Він так само робив попередньої ночі. Під час вечері він попросив розстелити йому постіль, і я це зробив. Після того у купе заходили його камердинер і молодий американець, його секретар. Він також подзвонив у дзвінок о двадцять по першій – після того, як ми зупинилися. Я потягнув за ручку, але він французькою відповів, що сталася певна помилка.;0
5;33;null;Чи бачили ви, щоб інші пасажири ходили по коридору вночі?;Одна з дам йшла до туалет в іншому кінці коридору. Яка дама - не знаю, мсьє. Це було дуже далеко, і вона йшла до мене спиною. Вона була в багряному кімоно з драконами.;0
5;34;button;Ось ґудзик із вашої  уніформи. Він був знайдений у купе американської леді.;Я не губив ґудзика. Тут, напевне, сталася якась помилка.;0
5;35;null;Її суміжне з купе містера Ретчетта, тому вбивця вийшов через міжкупейні двері, впустивши цей ґудзик.;Це неправда, мсьє, це неправда! Ви звинувачуєте мене у злочині. Я не винен. Абсолютно невинен! Для чого мені убивати містера, якого я раніше не бачив жодного разу?;34
5;36;null;Де ви були, коли задзвенів дзвінок місіс Хаббард?;У наступному вагоні, балакав зі своїм колегою. * Колега підтверджує слова Мішеля *;35
5;37;null;А цей ґудзик із уніформи провідників, як ви це поясните?;Не знаю, мсьє. Це для мене загадка. Усі мої ґудзики на місці.;36
5;38;smokingPipeBrush;Ви курите трубку?;Так, сер.;0
6;39;null;Чи не могли б ви коротко повідомити мені про ваші дії учора після вечері?;Охоче. Я звеліла провіднику постелити мені ліжко, поки я була у вагоні-ресторані. Я лягла у ліжко відразу після їжі. До одинадцятої години я читала, після цього вимкнула світло. Я не могла заснути через ревматичні болі, які мені докучають. Десь о чверть на першу я покликала покоївку. Вона зробила мені масаж, і мені вдалося заснути. Це десь трапилося зі півгодини після того.;0
6;40;null;Потяг зупинився після того?;Потяг уже стояв.;39
6;41;null;Ви чули щось підозріле, мадам?;Нічого особливого.;0
6;42;letter;Я гадаю, що ви бували в Америці, так, мадам?;Багато разів;0
6;43;null;Ви якось перетиналися із сім'єю Армстронгів, з якими трапилася страшна трагедія?;Ви говорите про моїх друзів, мсьє. Я знала полковника Армстронга не дуже добре, але його дружина, Соня Армстронг, була моєю похресницею. Я була в дружніх зв'язках із її матір'ю, актрисою Ліндою Арден. Лінда Арден була величною актрисою, однією з найкращих виконавець трагічних ролей. Леді Макбет, Магда – вона була неперевершена. Я була не просто її шанувальницею, а близьким другом. Вона жива, але живе відлюдно. У неї певні проблеми зі здоров'ям, тому більшість часу вона проводить на дивані.;42
6;44;null;Наскільки я пригадую, у неї була й друга донька?;Так, значно молодша, ніж місіс Армстронг.;43
6;45;null;І де вона?;Я мушу запитати вас про зміст цих питань. Яке відношення вони мають до суті справи – вбивства у цьому поїзді?;44
6;46;null;Ось таке, мадам: людина, яку було вбито, винна у викраденні та смерті дитини місіс Армстронг.;Овва! Ну що, це вбивство – дуже чудова подія! Ви вибачте моє упереджене відношення;45
6;47;null;Це природно, мадам. А тепер повернімося до запитання, на яке ви не дали відповіді. Де зараз молодша донька Лінди Арден, сестра місіс Армстронг?;На жаль, я не можу вам цього сказати, мсьє. Я втратила контакт із молодшим поколінням. Я пригадую, що вона вийшла заміж за якогось англійця та виїхала до Англії декілька років тому, але ім'я її пригадати не можу.;46
6;48;null;Питання, дещо особисте. Якого кольору ваш халат?;Думаю, що вас є вагомі підстави задавати таке питання. Мій халат – чорний із сатину. – З докором відповіла вона.;0
6;49;handkerchief;Це ваш носовичок?;Ні, не мій.;0
7;50;null;Що ви можете розповісти нам про події минулої ночі?;Боюся, що нічого особливого. Я пішла до себе та спала.;0
7;51;null;Ви не були знайомі з небіжчиком?;Вперше я його побачила лише вчора під час обіду.;0
7;52;letter;Ви були коли-небудь в Америці? Що ви думаєте про випадок Армстронгів?;Жахливий випадок.;0
7;53;null;Чи знали ви, що людиною, що викрала Дейзі Армстронг був Ретчетт? Його справжнє прізвище - Касетті.;Ні, не знала. Важко в це повірити.;52
7;54;null;Якого кольору ваш халат?;У мене лише один, блідо-ліловий.;0
8;55;null;Що ви можете розповісти нам про події минулої ночі?;Я нічого не знаю, мсьє.;0
8;56;talkedToCharacter6Question1;Ну, принаймні, ви знаєте, що ваша місіс покликала вас до себе минулої ночі?;Так, звісно.;55
8;57;;Ясно. Чи стало несподіванкою для вас, що вона вирішила покликати вас?;Це не було незвично. Милостива княгиня часто викликає мене вночі. Вона спить не дуже міцно.;56
8;58;;Добре, ви отримали виклик і зібралися йти. Ви одягали халат?;Ні, мсьє, я одяглася. Я не люблю приходити до її Величності у халаті. Я зробила їй масаж, мсьє, після чого читала їй вголос. Я читаю вголос не надто добре, проте княгиня каже, що так ще краще – вона так ліпше засинає. Коли вона майже спала, то звеліла мені йти, тому я закрила книгу й повернулася в своє купе.;57
8;59;;Скільки часу ви були у княгині?;Близько півгодини. Спершу, я їй принесла додатковий плед зі свого купе. Все ж таки, було надзвичайно холодно. Я вкрила її, й вона побажала доброї ночі. Після цього я налила їй склянку мінеральної води, вимкнула світло й вийшла.;58
8;60;;Ви зустріли когось у коридорі?;Ні, мсьє.;59
8;61;;І ви не бачили, приміром, даму в багряному кімоно з драконами?;Ні, аж ніяк. Нікого не було, окрім провідника. Усі спали. Він виходив з купе, десь у середині вагона, мсьє. Двоє чи троє дверей від княгині. Він пробіг повз мене. Це було якраз коли я поверталася зі свого купе й несла княгині плед.;60
8;62;;І він виходив з купе і майже зіткнувся з вами? В якому напрямку він рухався?;До мене. Він вибачився і побіг далі до вагона-ресторану. Почав дзвонити дзвінок, проте не думаю, що він на нього відповів.– Я не розумію. Як він…;61
8;63;;Це питання часу, воно просте. Цей бідолашний провідник, у нього була неспокійна ніч – спершу збудити вас, потім відповідати на дзвінки пасажирів.;Так, напевно так і було.;62
8;64;letter;Ви коли-небудь були в Америці, фрейлейн Шмідт?;Ніколи, мсьє. Напевно, це гарна країна.;0
8;65;;Чи знали ви, що людина, яку вбили була винною в смерті маленької дитини?;Це так огидно, так неправильно. Господь Бог не пробачає таких вчинків. У Німеччині люди не такі лихі.;64
8;66;handkerchief;Це ваш носовичок, фрейлейн Шмідт?;* вона нерішуче каже * Звісно, що ні.  Мсьє, це хустинка якоїсь дами, дуже дорога хустинка. Ручна вишивка. Можу бути певна, що вона з Парижу.;0
